"","CPU","MCS","SNR","bsr","buff_state1","buff_state2","dec_error","net_load","throughput","txgain","what","SNR_group"
"14384",0.62,14,25.0422857142857,138801.013530135,NA,NA,0.0684706847068471,"Load = 100%",0.475526006593781,75,"i7-8650U @ 1.90GHz","High SNR"
"14385",0.46,6,19.718487394958,138913.698607699,NA,NA,0.0873146622734761,"Load = 90%",0.130216569588031,60,"i7-8650U @ 1.90GHz","High SNR"
"14386",0.6,0,25.6796493092455,121972.816590563,NA,NA,0.954845256215119,"Load = 10%",1.17410448833707,75,"i7-8650U @ 1.90GHz","High SNR"
"14387",0.56,0,5.9354211663067,117780.5746875,NA,NA,0.144065142499217,"Load = 10%",0.142518838212936,45,"i7-8650U @ 1.90GHz","Low SNR"
"14388",0.7,2,25.9866733466934,148766.472,NA,NA,0.995998999749937,"Load = 30%",2.00424447983872,80,"i7-8650U @ 1.90GHz","High SNR"
"14389",0.5,8,30.3489429852659,2398.93094629156,NA,NA,0.99872040946897,"Load = 10%",2.21617113984197,80,"i7-8650U @ 1.90GHz","High SNR"
"14390",0.66,8,26.3175757575758,1902.09356136821,NA,NA,1,"Load = 5%",1.37319867111096,75,"i7-8650U @ 1.90GHz","High SNR"
"14391",0.6,16,21.5760579064588,2265.00444444444,NA,NA,1,"Load = 10%",2.60521664509236,70,"i7-8650U @ 1.90GHz","High SNR"
"14392",0.46,10,26.0288667687596,2761.45573518091,NA,NA,1,"Load = 10%",2.38650239726892,75,"i7-8650U @ 1.90GHz","High SNR"
"14393",0.58,14,6.9,138552,NA,NA,0,"Load = 100%",0,70,"i7-8650U @ 1.90GHz","Low SNR"
"14394",0.66,8,21.6845764854614,2689.38050314465,NA,NA,1,"Load = 10%",2.24271957430877,70,"i7-8650U @ 1.90GHz","High SNR"
"14395",0.68,2,16.4798474085767,148778.156163696,NA,NA,0.954054732613608,"Load = 30%",1.91167252350651,65,"i7-8650U @ 1.90GHz","Medium SNR"
"14396",0.54,2,19.2356481481481,147890.393939394,NA,NA,0.0424873382104671,"Load = 70%",0.0761064786882165,60,"i7-8650U @ 1.90GHz","High SNR"
"14397",0.56,8,9.5375,142326.175675676,NA,NA,0,"Load = 100%",0,70,"i7-8650U @ 1.90GHz","Low SNR"
"14398",0.42,16,17.0658252427185,1169.7480620155,NA,NA,1,"Load = 5%",1.39811248126677,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14399",0.56,12,9.58245614035088,96507.7869875223,NA,NA,0.0957066189624329,"Load = 70%",0.217128676700735,50,"i7-8650U @ 1.90GHz","Low SNR"
"14400",0.52,10,30.4319722650231,2182.81298299845,NA,NA,1,"Load = 10%",2.33652608205883,80,"i7-8650U @ 1.90GHz","High SNR"
"14401",0.7,14,25.9468323734465,6023.30115012107,NA,NA,0.997275204359673,"Load = 50%",8.82099650728062,75,"i7-8650U @ 1.90GHz","High SNR"
"14402",0.6,10,5.62253521126761,141672.533901919,NA,NA,0.00515463917525773,"Load = 30%",0.0191365272581636,45,"i7-8650U @ 1.90GHz","Low SNR"
"14403",0.7,14,11.5998624484182,5111.47370827618,NA,NA,1,"Load = 30%",5.61015241698197,50,"i7-8650U @ 1.90GHz","Low SNR"
"14404",0.46,6,25.83,139374.364944962,NA,NA,0.0851246775580396,"Load = 90%",0.110024552654457,80,"i7-8650U @ 1.90GHz","High SNR"
"14405",0.66,0,21.1720334553058,149963.495865698,NA,NA,0.956140350877193,"Load = 50%",1.19000506120307,70,"i7-8650U @ 1.90GHz","High SNR"
"14406",0.68,0,5.91542274052478,149494.607723577,NA,NA,0.997090485888857,"Load = 90%",1.04311084097798,45,"i7-8650U @ 1.90GHz","Low SNR"
"14407",0.68,0,15.743699240241,149878.850263356,NA,NA,0.957350727546412,"Load = 50%",1.190364972845,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14408",0.5,6,8.69285714285714,142442.770003588,NA,NA,0.0129589632829374,"Load = 30%",0.0426544667266866,50,"i7-8650U @ 1.90GHz","Low SNR"
"14409",0.66,0,25.6471489883507,8292.97795468463,NA,NA,0.994796449341904,"Load = 5%",1.01280942915549,75,"i7-8650U @ 1.90GHz","High SNR"
"14410",0.56,2,29.8280103862382,148550.435592344,NA,NA,0.791257113295396,"Load = 70%",1.53926598954214,80,"i7-8650U @ 1.90GHz","High SNR"
"14411",0.44,2,22.0674418604651,121971.04063745,NA,NA,0.0584935897435897,"Load = 70%",0.0348335327978472,75,"i7-8650U @ 1.90GHz","High SNR"
"14412",0.6,8,21.034345856648,144069.799949096,NA,NA,0.954429735234216,"Load = 70%",5.77980227641106,70,"i7-8650U @ 1.90GHz","High SNR"
"14413",0.68,2,21.3284178955261,148770.624687656,NA,NA,1,"Load = 30%",2.01285763596159,70,"i7-8650U @ 1.90GHz","High SNR"
"14414",0.46,14,9.89281045751634,125629.407876231,NA,NA,0.0968197879858657,"Load = 100%",0.366739365560556,50,"i7-8650U @ 1.90GHz","Low SNR"
"14415",0.48,6,23.4351724137931,17949.2727930535,NA,NA,0.0466132556445739,"Load = 30%",0.151858142944456,75,"i7-8650U @ 1.90GHz","High SNR"
"14416",0.56,16,17.5,22963.4850051706,NA,NA,0,"Load = 70%",0,80,"i7-8650U @ 1.90GHz","Medium SNR"
"14417",0.46,4,20.7519736842105,144506.64751482,NA,NA,0.0679834634818558,"Load = 100%",0.114789637498258,70,"i7-8650U @ 1.90GHz","High SNR"
"14418",0.52,18,22.3242661448141,1197.474609375,NA,NA,1,"Load = 5%",1.53788064279179,70,"i7-8650U @ 1.90GHz","High SNR"
"14419",0.68,0,20.9654454401687,149967.143574297,NA,NA,0.952309236947791,"Load = 30%",1.18365089920054,60,"i7-8650U @ 1.90GHz","High SNR"
"14420",0.66,12,16.8382031905961,2405.36295054484,NA,NA,1,"Load = 10%",2.4055369082049,65,"i7-8650U @ 1.90GHz","Medium SNR"
"14421",0.62,8,5.74583333333333,141441.565965583,NA,NA,0.032180595581172,"Load = 70%",0.0844173975887783,45,"i7-8650U @ 1.90GHz","Low SNR"
"14422",0.56,4,21.2757375075256,2490.12897420516,NA,NA,1,"Load = 5%",1.292942539635,70,"i7-8650U @ 1.90GHz","High SNR"
"14423",0.68,0,15.7809172377438,149866.956608979,NA,NA,0.951592676197642,"Load = 70%",1.18361539269162,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14424",0.58,2,8.67373949579832,148761.782247926,NA,NA,0.956237424547284,"Load = 30%",1.91275884408968,65,"i7-8650U @ 1.90GHz","Low SNR"
"14425",0.5,12,9.6710843373494,119464.917040359,NA,NA,0.0571428571428571,"Load = 50%",0.156491004410482,50,"i7-8650U @ 1.90GHz","Low SNR"
"14426",0.58,0,5.72506617257808,149935.268231138,NA,NA,0.953065859197578,"Load = 30%",1.17819149268553,45,"i7-8650U @ 1.90GHz","Low SNR"
"14427",0.68,10,15.7777338603426,142211.276962025,NA,NA,0.960506329113924,"Load = 90%",7.5309397792019,55,"i7-8650U @ 1.90GHz","Medium SNR"
"14428",0.52,14,21.5058879392213,3454.88800374883,NA,NA,0.987341772151899,"Load = 30%",5.35498089017229,65,"i7-8650U @ 1.90GHz","High SNR"
"14429",0.54,0,27.4431734317343,144169.164791901,NA,NA,0.13882618510158,"Load = 50%",0.0712797507561314,80,"i7-8650U @ 1.90GHz","High SNR"
"14430",0.44,14,30.6732735426009,1894.96146953405,NA,NA,1,"Load = 10%",2.63082582614489,80,"i7-8650U @ 1.90GHz","High SNR"
"14431",0.52,2,25.7813029315961,148246.77015578,NA,NA,0.415367787804211,"Load = 30%",0.76437043088544,75,"i7-8650U @ 1.90GHz","High SNR"
"14432",0.64,8,21.1828517924024,144180.066598882,NA,NA,0.949923741738688,"Load = 70%",5.76123098859197,70,"i7-8650U @ 1.90GHz","High SNR"
"14433",0.52,4,10.0088878963823,4779.00538971808,NA,NA,0.930977130977131,"Load = 10%",1.76968430286672,50,"i7-8650U @ 1.90GHz","Low SNR"
"14434",0.44,6,5.41818181818182,145045.257425743,NA,NA,0,"Load = 90%",0,55,"i7-8650U @ 1.90GHz","Low SNR"
"14435",0.6,14,7.59383561643835,3575.57056013895,NA,NA,0.0152372659991293,"Load = 10%",0.0789348221270912,65,"i7-8650U @ 1.90GHz","Low SNR"
"14436",0.68,8,25.8349920592906,144056.101086682,NA,NA,0.954763709881223,"Load = 70%",5.8243332153449,75,"i7-8650U @ 1.90GHz","High SNR"
"14437",0.62,0,9.89593253968254,5238.54389438944,NA,NA,1,"Load = 5%",0.941529519947774,50,"i7-8650U @ 1.90GHz","Low SNR"
"14438",0.64,4,9.96802954365603,147190.124748491,NA,NA,0.950943396226415,"Load = 70%",3.04357991050224,50,"i7-8650U @ 1.90GHz","Low SNR"
"14439",0.62,4,14.7071516646116,4719.27366412214,NA,NA,0.924427480916031,"Load = 10%",1.91866905269041,65,"i7-8650U @ 1.90GHz","Medium SNR"
"14440",0.54,2,23.8405063291139,146309.152840397,NA,NA,0.0615384615384615,"Load = 70%",0.0649733790952829,75,"i7-8650U @ 1.90GHz","High SNR"
"14441",0.64,4,5.87926600589338,147196.874465409,NA,NA,0.938883299798793,"Load = 70%",3.00557286965165,45,"i7-8650U @ 1.90GHz","Low SNR"
"14442",0.52,2,28.0626373626374,145470.990602056,NA,NA,0.0467922307239553,"Load = 50%",0.0785648457519491,80,"i7-8650U @ 1.90GHz","High SNR"
"14443",0.44,10,21.3078778135048,2935.90996784566,NA,NA,1,"Load = 10%",2.28690251749471,70,"i7-8650U @ 1.90GHz","High SNR"
"14444",0.56,10,10.9535714285714,117539.391559203,NA,NA,0.00195388823759281,"Load = 30%",0.00998898362091657,75,"i7-8650U @ 1.90GHz","Low SNR"
"14445",0.48,2,9.896,6189.14199134199,NA,NA,0.0431560592850915,"Load = 10%",0.0483695092193206,50,"i7-8650U @ 1.90GHz","Low SNR"
"14446",0.54,14,11.3984481086324,2108.46168768186,NA,NA,1,"Load = 10%",2.41632570727697,50,"i7-8650U @ 1.90GHz","Low SNR"
"14447",0.62,10,21.3856159143076,2936.88803680982,NA,NA,1,"Load = 10%",2.39103320310157,70,"i7-8650U @ 1.90GHz","High SNR"
"14448",0.5,10,9.72282608695652,58594.0809138506,NA,NA,0.0423688011555128,"Load = 70%",0.172319748778507,50,"i7-8650U @ 1.90GHz","Low SNR"
"14449",0.48,10,21.3689125295508,1735.87514723204,NA,NA,1,"Load = 5%",1.5315549765779,70,"i7-8650U @ 1.90GHz","High SNR"
"14450",0.4,14,25.8556701030928,112855.402088773,NA,NA,0.103174603174603,"Load = 100%",0.200568929648028,80,"i7-8650U @ 1.90GHz","High SNR"
"14451",0.66,18,22.1170542635659,1990.3118556701,NA,NA,1,"Load = 10%",2.53286679967392,70,"i7-8650U @ 1.90GHz","High SNR"
"14452",0.56,10,18.5346153846154,135278.644462279,NA,NA,0.0946058091286307,"Load = 100%",0.25071119601132,60,"i7-8650U @ 1.90GHz","High SNR"
"14453",0.66,16,16.2833333333333,135298.925449871,NA,NA,0.018630849220104,"Load = 70%",0.144833968170963,70,"i7-8650U @ 1.90GHz","Medium SNR"
"14454",0.44,12,8.8,140858.373626374,NA,NA,0,"Load = 90%",0,50,"i7-8650U @ 1.90GHz","Low SNR"
