"device","cpu","mcs","txpower","mean_load","mean_throughput","mean_goodput","mean_snr","mean_q7","mean_q11","mean_q25","mean_bler","mean_bsr","mean_turbo_its","mean_dectime","mean_overflows","mean_underflows","mean_lates"
"I7-5600U @ 2.60GHz",0.1,0,-14,11.5,0,0,0.084778125,1,1,1,1,2.84375,9.375,229.03125,0.21875,0.21875,11.1875
"I7-5600U @ 2.60GHz",0.1,0,-14,17.25,0.232732922019648,0.231957692712161,2.82078571428571,1,1,1,0.572895,91689.25,2.76982142857143,925.892857142857,0.285714285714286,0.25,16.1785714285714
"I7-5600U @ 2.60GHz",0.1,0,-14,23,0.177444503487223,0.176042368754275,3.48877551020408,1,1,1,1,114248.959183673,3.24714285714286,183.755102040816,0.285714285714286,0.142857142857143,16.0816326530612
"I7-5600U @ 2.60GHz",0.1,0,-14,28.75,0.168885986359393,0.167792460936043,2.87922641509434,1,1,1,1,93292.3773584906,2.44547169811321,2753.00737028302,0.245283018867925,0.169811320754717,13.5094339622642
"I7-5600U @ 2.60GHz",0.1,0,-13,2.3,0.185814534229706,0.18445685126605,3.64005357142857,1,1,1,0.57605,106458.303571429,2.93,3709.19196428571,0.25,0.232142857142857,14.3571428571429
"I7-5600U @ 2.60GHz",0.1,0,-13,5.75,0.184850803551571,0.177084481431538,4.96861818181818,1,1,1,0.625833,107429.636363636,3.87145454545455,2114.12911932727,0.254545454545455,0.218181818181818,14.1636363636364
"I7-5600U @ 2.60GHz",0.1,0,-13,11.5,0.172623837129728,0.171402925024803,3.47550909090909,1,1,1,0.59954,112731.763636364,3.20309090909091,4341.30731536364,0.254545454545455,0.2,13.5454545454545
"I7-5600U @ 2.60GHz",0.1,0,-13,17.25,0.178558131695448,0.17748916431417,3.46839285714286,1,1,1,1,107543.714285714,2.93357142857143,4861.83680942857,0.25,0.178571428571429,14.1071428571429
"I7-5600U @ 2.60GHz",0.1,0,-12,2.3,0.0249634855791082,0.0241736998643494,2.09237903225807,1,1,1,1,193335,8.98032258064516,351.290322580645,0.32258064516129,0.193548387096774,17.1290322580645
"I7-5600U @ 2.60GHz",0.1,0,-12,5.75,0.198791381412008,0.197276773536348,4.1440625,1,1,1,0.64713,111100.979166667,3.12770833333333,582.839477541667,0.291666666666667,0.166666666666667,16.2708333333333
"I7-5600U @ 2.60GHz",0.1,0,-12,11.5,0.190734549955479,0.189280984102148,4.27769565217391,1,1,1,0.66136,114059.304347826,3.12130434782609,1344.33695652174,0.282608695652174,0.173913043478261,15.1304347826087
"I7-5600U @ 2.60GHz",0.1,0,-12,17.25,0.06127869144905,0.0607198659402714,1.48814339622642,1,1,1,1,115376.377358491,6.18905660377358,2649.08437130189,0.264150943396226,0.207547169811321,15.2075471698113
"I7-5600U @ 2.60GHz",0.1,0,-12,23,0.167132110676697,0.165741711974402,3.76490566037736,1,1,1,1,100790.924528302,2.94415094339623,636.591999566038,0.283018867924528,0.0943396226415094,16.2452830188679
"I7-5600U @ 2.60GHz",0.1,0,-12,28.75,0.196080386039491,0.192223491152376,5.57293023255814,1,1,1,1,125454.604651163,4.23813953488372,712.921829581395,0.302325581395349,0.162790697674419,17.3255813953488
